model,year,price,transmission,mileage,fuelType,mpg,engineSize
 Kodiaq,2019,29000,Automatic,2970,Petrol,32.1,1.5
 Octavia,2019,21560,Semi-Auto,6473,Diesel,44.8,2.0
 Karoq,2019,22999,Manual,6693,Diesel,42.8,2.0
 Octavia,2019,18999,Manual,2000,Petrol,48.7,1.5
 Fabia,2019,13999,Semi-Auto,3000,Petrol,60.1,1.0
 Fabia,2019,8925,Manual,13690,Petrol,57.7,1.0
 Yeti Outdoor,2017,12698,Semi-Auto,18877,Petrol,51.4,1.2
 Yeti Outdoor,2017,14498,Semi-Auto,5377,Petrol,51.4,1.2
 Fabia,2017,10790,Manual,15811,Petrol,58.9,1.2
 Fabia,2018,10995,Manual,11618,Petrol,64.2,1.0
 Fabia,2018,9295,Manual,27754,Petrol,64.2,1.0
 Karoq,2019,19590,Automatic,3503,Diesel,62.8,1.6
 Fabia,2017,9900,Manual,31913,Petrol,58.9,1.2
 Octavia,2019,13999,Semi-Auto,15615,Petrol,61.4,1.0
 Octavia,2019,13999,Semi-Auto,14780,Petrol,61.4,1.0
 Kodiaq,2017,19960,Automatic,51629,Petrol,38.2,2.0
 Superb,2019,23999,Semi-Auto,2008,Diesel,47.9,1.6
 Karoq,2018,17999,Manual,14890,Petrol,52.3,1.0
 Kamiq,2019,19490,Semi-Auto,5690,Petrol,43.5,1.5
 Octavia,2019,16999,Semi-Auto,1297,Petrol,47.1,1.5
 Octavia,2020,18999,Semi-Auto,2293,Petrol,46.3,1.5
 Octavia,2020,19999,Semi-Auto,4789,Diesel,53.3,2.0
 Superb,2016,14290,Manual,39460,Diesel,67.3,2.0
 Octavia,2019,15290,Semi-Auto,4889,Diesel,72.4,1.6
 Yeti Outdoor,2016,11490,Manual,17263,Petrol,51.4,1.2
 Fabia,2017,6741,Manual,15801,Petrol,57.7,1.0
 Kodiaq,2017,20291,Automatic,31369,Petrol,44.8,1.4
 Citigo,2017,6591,Manual,23716,Petrol,64.2,1.0
 Yeti Outdoor,2017,14991,Semi-Auto,6245,Petrol,51.4,1.2
 Kamiq,2019,16991,Manual,458,Petrol,49.6,1.0
 Fabia,2018,9291,Manual,20549,Petrol,57.7,1.0
 Fabia,2018,7692,Manual,25017,Petrol,57.7,1.0
 Citigo,2015,6892,Manual,12455,Petrol,62.8,1.0
 Fabia,2019,12991,Manual,4564,Petrol,52.3,1.0
 Scala,2020,17000,Manual,1050,Petrol,49.6,1.0
 Fabia,2018,11700,Semi-Auto,7691,Petrol,60.1,1.0
 Kodiaq,2019,34500,Automatic,5954,Diesel,37.2,2.0
 Fabia,2019,13920,Manual,4969,Petrol,51.4,1.0
 Octavia,2016,10960,Semi-Auto,39692,Diesel,64.2,2.0
 Octavia,2016,9500,Semi-Auto,41000,Diesel,76.4,1.6
 Octavia,2017,14295,Manual,15936,Petrol,55.4,1.5
 Citigo,2017,7999,Manual,14100,Petrol,64.2,1.0
 Octavia,2019,13999,Semi-Auto,14705,Diesel,72.4,1.6
 Yeti Outdoor,2016,11495,Manual,26657,Diesel,62.8,2.0
 Fabia,2016,5999,Manual,36273,Petrol,60.1,1.0
 Yeti Outdoor,2017,12495,Manual,30960,Diesel,62.8,2.0
 Kodiaq,2017,16999,Manual,30096,Petrol,45.6,1.4
 Fabia,2018,10550,Manual,17082,Petrol,64.2,1.0
 Octavia,2018,12498,Manual,16560,Diesel,68.9,1.6
 Octavia,2018,13498,Manual,6373,Diesel,68.9,1.6
 Octavia,2017,10698,Semi-Auto,25669,Diesel,72.4,1.6
 Yeti Outdoor,2016,9998,Manual,29098,Petrol,51.4,1.2
 Superb,2019,17998,Manual,14562,Diesel,65.7,2.0
 Fabia,2019,10470,Manual,12822,Petrol,61.4,1.0
 Superb,2016,12080,Semi-Auto,59823,Petrol,55.4,1.4
 Octavia,2018,15774,Manual,9886,Petrol,55.4,1.5
 Superb,2017,14899,Manual,30669,Diesel,68.9,2.0
 Octavia,2016,11295,Semi-Auto,18004,Diesel,76.4,1.6
 Fabia,2019,8690,Manual,13661,Petrol,57.7,1.0
 Octavia,2019,13290,Manual,13909,Diesel,68.9,1.6
 Citigo,2019,8295,Manual,2981,Petrol,67.3,1.0
 Fabia,2016,8000,Manual,27000,Petrol,60.1,1.2
 Superb,2016,17995,Semi-Auto,14805,Diesel,61.4,2.0
 Fabia,2017,8550,Manual,25638,Petrol,60.1,1.2
 Fabia,2018,9415,Manual,29100,Diesel,70.6,1.4
 Yeti Outdoor,2017,12799,Manual,24000,Petrol,51.4,1.2
 Superb,2018,19565,Manual,14000,Diesel,65.7,2.0
 Fabia,2019,14295,Manual,1758,Petrol,51.4,1.0
 Fabia,2017,10490,Manual,14338,Petrol,58.9,1.2
 Octavia,2016,9490,Manual,40501,Diesel,74.3,1.6
 Fabia,2017,7495,Manual,22753,Petrol,60.1,1.2
 Citigo,2018,7450,Manual,8800,Petrol,64.2,1.0
 Fabia,2017,8795,Manual,13085,Diesel,70.6,1.4
 Octavia,2017,14999,Semi-Auto,40741,Diesel,58.9,2.0
 Kamiq,2019,19490,Manual,10,Petrol,47.1,1.5
 Fabia,2016,7990,Manual,12250,Petrol,60.1,1.2
 Fabia,2017,10447,Automatic,15185,Petrol,61.4,1.0
 Fabia,2014,4760,Manual,28000,Petrol,49.6,1.2
 Yeti Outdoor,2016,10887,Semi-Auto,38424,Petrol,51.4,1.2
 Superb,2016,14451,Manual,39089,Diesel,68.9,2.0
 Fabia,2017,10991,Semi-Auto,13152,Petrol,60.1,1.2
 Yeti Outdoor,2017,12990,Manual,11481,Diesel,62.8,2.0
 Citigo,2018,6850,Manual,21343,Petrol,64.2,1.0
 Superb,2019,18998,Semi-Auto,16498,Diesel,62.8,2.0
 Citigo,2019,8498,Manual,1026,Petrol,67.3,1.0
 Octavia,2018,12998,Manual,14884,Diesel,68.9,1.6
 Superb,2019,18995,Semi-Auto,13766,Petrol,36.7,1.5
 Fabia,2019,9995,Manual,14182,Petrol,57.7,1.0
 Fabia,2015,7990,Manual,17139,Petrol,60.1,1.2
 Citigo,2014,5931,Manual,35318,Petrol,62.8,1.0
 Fabia,2015,7090,Manual,19936,Petrol,60.1,1.2
 Fabia,2018,10795,Manual,11216,Petrol,64.2,1.0
 Superb,2019,22995,Semi-Auto,6840,Diesel,48.7,2.0
 Kodiaq,2019,32995,Automatic,12500,Diesel,35.3,2.0
 Karoq,2018,18998,Automatic,2504,Diesel,62.8,1.6
 Yeti Outdoor,2017,13698,Semi-Auto,26977,Petrol,51.4,1.2
 Superb,2019,16998,Semi-Auto,37334,Diesel,62.8,2.0
 Octavia,2019,13498,Manual,21116,Diesel,68.9,1.6
 Superb,2019,17998,Manual,16317,Diesel,65.7,2.0
 Fabia,2019,12495,Manual,1000,Petrol,60.1,1.0
 Octavia,2019,23995,Automatic,3000,Diesel,45.6,2.0
 Fabia,2019,12495,Manual,100,Petrol,60.1,1.0
 Citigo,2018,6995,Manual,28300,Petrol,64.2,1.0
 Scala,2019,14995,Manual,2900,Petrol,49.6,1.0
 Citigo,2017,7495,Manual,9800,Petrol,68.9,1.0
 Yeti Outdoor,2017,13695,Semi-Auto,16200,Petrol,51.4,1.2
 Fabia,2017,8890,Manual,27784,Petrol,60.1,1.2
 Fabia,2018,9898,Manual,7090,Petrol,57.7,1.0
 Fabia,2017,9415,Manual,27224,Petrol,60.1,1.2
 Yeti Outdoor,2017,13770,Semi-Auto,26446,Petrol,51.4,1.2
 Yeti Outdoor,2017,13410,Semi-Auto,34675,Petrol,51.4,1.2
 Fabia,2018,9879,Manual,18000,Petrol,64.2,1.0
 Yeti Outdoor,2016,10990,Manual,54965,Diesel,55.4,2.0
 Octavia,2017,11750,Manual,21800,Petrol,57.7,1.5
 Fabia,2017,8990,Manual,23800,Petrol,60.1,1.2
 Fabia,2017,8950,Manual,22316,Petrol,60.1,1.2
 Fabia,2018,8995,Manual,19000,Petrol,64.2,1.0
 Fabia,2017,8395,Manual,19667,Petrol,64.2,1.0
 Kamiq,2019,21999,Manual,2000,Petrol,47.1,1.0
 Citigo,2017,5990,Manual,18456,Petrol,64.2,1.0
 Kodiaq,2017,21990,Semi-Auto,29255,Petrol,44.8,1.4
 Yeti Outdoor,2017,12480,Semi-Auto,38599,Petrol,51.4,1.2
 Yeti Outdoor,2017,12910,Semi-Auto,33119,Petrol,51.4,1.2
 Yeti Outdoor,2017,13890,Semi-Auto,15064,Petrol,51.4,1.2
 Yeti Outdoor,2017,13990,Semi-Auto,28024,Petrol,51.4,1.2
 Yeti Outdoor,2017,12990,Semi-Auto,19896,Petrol,51.4,1.2
 Yeti Outdoor,2017,11990,Manual,10441,Diesel,62.8,2.0
 Rapid,2017,7995,Manual,36348,Petrol,57.7,1.2
 Yeti Outdoor,2017,13498,Semi-Auto,40045,Petrol,51.4,1.2
 Fabia,2017,9000,Manual,21552,Petrol,64.2,1.0
 Fabia,2018,9298,Manual,10012,Petrol,57.7,1.0
 Octavia,2015,9878,Manual,25332,Diesel,68.9,2.0
 Fabia,2019,13876,Manual,2500,Petrol,60.1,1.0
 Scala,2019,16726,Automatic,2500,Petrol,45.6,1.5
 Octavia,2017,10746,Manual,9545,Petrol,62.8,1.0
 Octavia,2019,24991,Automatic,2500,Petrol,35.8,2.0
 Kodiaq,2017,24000,Automatic,24865,Petrol,38.2,2.0
 Fabia,2018,10379,Semi-Auto,14587,Petrol,61.4,1.0
 Fabia,2017,8410,Manual,10000,Petrol,58.8,1.0
 Fabia,2016,7290,Manual,14000,Petrol,58.8,1.0
 Octavia,2017,9490,Manual,48449,Diesel,74.3,1.6
 Fabia,2017,9919,Manual,10988,Petrol,64.2,1.0
 Superb,2016,9995,Manual,36102,Diesel,68.9,1.6
 Fabia,2014,6798,Manual,29357,Petrol,53.3,1.2
 Fabia,2018,12395,Automatic,17541,Petrol,61.4,1.0
 Fabia,2016,8195,Manual,35796,Petrol,60.1,1.2
 Octavia,2016,13980,Manual,44824,Diesel,64.2,2.0
 Fabia,2017,12980,Semi-Auto,8821,Petrol,61.4,1.0
 Rapid,2017,9750,Manual,11550,Petrol,57.7,1.2
 Fabia,2017,7799,Manual,38512,Petrol,60.1,1.2
 Fabia,2019,8933,Manual,13596,Petrol,57.7,1.0
 Yeti Outdoor,2017,13190,Semi-Auto,25600,Petrol,51.4,1.2
 Karoq,2018,16245,Manual,9482,Petrol,53.3,1.0
 Citigo,2017,7545,Manual,12997,Petrol,62.8,1.0
 Octavia,2019,13299,Automatic,13979,Diesel,72.4,1.6
 Fabia,2019,10972,Manual,13778,Petrol,61.4,1.0
 Fabia,2019,11798,Manual,4802,Petrol,61.4,1.0
 Octavia,2017,12995,Semi-Auto,13503,Petrol,57.7,1.4
 Fabia,2017,7930,Manual,16403,Petrol,60.1,1.2
 Fabia,2018,9498,Manual,10018,Petrol,57.7,1.0
 Rapid,2015,7900,Manual,37657,Diesel,67.3,1.6
 Octavia,2018,12060,Automatic,24752,Petrol,57.7,1.5
 Octavia,2017,11660,Manual,8539,Petrol,58.9,1.0
 Fabia,2017,7600,Manual,10610,Petrol,57.7,1.0
 Octavia,2016,9690,Manual,31080,Petrol,62.8,1.0
 Citigo,2017,6300,Manual,27000,Petrol,64.2,1.0
 Fabia,2018,9580,Manual,20768,Petrol,64.2,1.0
 Octavia,2018,14380,Semi-Auto,7618,Petrol,55.4,1.5
 Fabia,2019,10995,Manual,13510,Petrol,61.4,1.0
 Fabia,2019,10995,Manual,14306,Petrol,61.4,1.0
 Octavia,2017,12495,Manual,32798,Petrol,54.3,1.4
 Fabia,2019,11670,Manual,10032,Petrol,61.4,1.0
 Octavia,2019,13490,Manual,14725,Petrol,55.4,1.5
 Fabia,2019,9240,Manual,10573,Petrol,57.7,1.0
 Fabia,2019,10490,Manual,10493,Petrol,60.1,1.0
 Fabia,2017,11490,Semi-Auto,17679,Petrol,60.1,1.2
 Yeti Outdoor,2017,13460,Semi-Auto,15107,Petrol,51.4,1.2
 Karoq,2018,18990,Manual,20032,Diesel,56.5,2.0
 Yeti Outdoor,2017,13490,Semi-Auto,25499,Petrol,51.4,1.2
 Karoq,2019,18389,Manual,1724,Petrol,43.5,1.0
 Fabia,2017,7485,Manual,5264,Petrol,57.7,1.0
 Yeti Outdoor,2017,13997,Manual,14228,Petrol,51.4,1.2
 Fabia,2019,10290,Manual,14391,Petrol,60.1,1.0
 Octavia,2019,13470,Manual,12491,Petrol,55.4,1.5
 Fabia,2019,10995,Manual,12592,Petrol,61.4,1.0
 Fabia,2019,11290,Manual,9534,Petrol,61.4,1.0
 Scala,2019,15490,Manual,2563,Petrol,49.6,1.0
 Scala,2019,14980,Manual,4942,Diesel,57.7,1.6
 Scala,2019,16250,Semi-Auto,3374,Petrol,45.6,1.5
 Scala,2019,15995,Semi-Auto,5449,Petrol,45.6,1.5
 Octavia,2019,18990,Manual,6975,Petrol,36.7,2.0
 Octavia,2019,16495,Semi-Auto,4206,Petrol,55.4,1.5
 Superb,2017,16795,Manual,31801,Diesel,64.2,2.0
 Superb,2020,31795,Semi-Auto,2000,Hybrid,188.3,1.4
 Superb,2020,29995,Semi-Auto,2500,Diesel,48.7,2.0
 Kamiq,2019,18995,Semi-Auto,4500,Petrol,44.1,1.5
 Kamiq,2019,15795,Manual,4500,Diesel,56.5,1.6
 Fabia,2017,8995,Manual,16148,Petrol,64.2,1.0
 Octavia,2017,9995,Manual,46222,Diesel,68.9,1.6
 Fabia,2018,9795,Manual,23229,Petrol,64.2,1.0
 Fabia,2018,9995,Manual,12500,Petrol,57.7,1.0
 Superb,2019,18895,Manual,4806,Petrol,40.9,1.5
 Citigo,2017,6490,Manual,19369,Petrol,64.2,1.0
 Kodiaq,2017,19240,Manual,14015,Petrol,40.9,1.4
 Fabia,2015,6990,Manual,29426,Petrol,60.1,1.2
 Scala,2019,16490,Semi-Auto,11814,Petrol,45.6,1.5
 Yeti Outdoor,2017,13990,Semi-Auto,12728,Petrol,51.4,1.2
 Yeti Outdoor,2017,11890,Manual,24255,Petrol,51.4,1.2
 Octavia,2019,18995,Semi-Auto,1080,Petrol,45.6,1.5
 Scala,2020,16495,Manual,500,Petrol,50.4,1.0
 Octavia,2017,11495,Manual,25000,Diesel,68.9,1.6
 Octavia,2017,10795,Manual,21500,Petrol,58.9,1.0
 Octavia,2019,13990,Manual,16336,Petrol,58.9,1.0
 Karoq,2019,21995,Manual,4424,Petrol,52.3,1.5
 Fabia,2017,8995,Manual,21000,Petrol,60.1,1.2
 Superb,2018,15498,Semi-Auto,19455,Petrol,54.3,1.4
 Citigo,2019,8995,Manual,2490,Petrol,65.7,1.0
 Fabia,2014,4995,Manual,59585,Petrol,54.3,1.2
 Octavia,2018,13499,Semi-Auto,7595,Petrol,57.7,1.5
 Octavia,2019,15490,Manual,15372,Petrol,52.3,1.5
 Octavia,2019,13990,Manual,15564,Petrol,58.9,1.0
 Octavia,2019,17995,Manual,4600,Petrol,50.4,1.5
 Fabia,2016,6995,Manual,32149,Petrol,58.8,1.0
 Superb,2020,27995,Semi-Auto,4500,Hybrid,188.3,1.4
 Fabia,2018,9995,Manual,19782,Petrol,64.2,1.0
 Fabia,2018,8895,Manual,19997,Petrol,64.2,1.0
 Fabia,2018,9995,Manual,17052,Petrol,64.2,1.0
 Fabia,2018,8895,Manual,20894,Petrol,64.2,1.0
 Karoq,2019,19995,Manual,4610,Diesel,62.8,1.6
 Octavia,2019,20795,Semi-Auto,7200,Petrol,37.7,2.0
 Superb,2018,17395,Semi-Auto,12320,Petrol,53.3,1.4
 Octavia,2019,15810,Semi-Auto,6657,Petrol,55.4,1.5
 Scala,2019,14990,Manual,4451,Petrol,49.6,1.0
 Scala,2019,14795,Manual,2518,Petrol,49.6,1.0
 Fabia,2019,11430,Manual,14169,Petrol,61.4,1.0
 Fabia,2019,11490,Manual,14289,Petrol,61.4,1.0
 Fabia,2018,8995,Manual,16900,Petrol,64.2,1.0
 Superb,2019,18995,Manual,4998,Petrol,40.9,1.5
 Yeti Outdoor,2017,12449,Semi-Auto,24352,Petrol,51.4,1.2
 Superb,2017,17600,Semi-Auto,29826,Diesel,61.4,2.0
 Octavia,2016,9995,Semi-Auto,31200,Petrol,58.9,1.4
 Superb,2019,28995,Automatic,3000,Petrol,33.2,2.0
 Fabia,2014,4995,Manual,42300,Petrol,49.6,1.2
 Scala,2019,14995,Manual,5703,Diesel,57.7,1.6
 Kodiaq,2019,30495,Automatic,5431,Diesel,37.2,2.0
 Octavia,2018,12295,Semi-Auto,31000,Petrol,57.7,1.4
 Scala,2020,15895,Semi-Auto,3263,Petrol,47.1,1.0
 Karoq,2018,19995,Automatic,23480,Petrol,50.4,1.5
 Kamiq,2020,21495,Semi-Auto,2000,Diesel,52.3,1.6
 Karoq,2019,22995,Automatic,1979,Petrol,50.4,1.5
 Octavia,2019,22495,Semi-Auto,4600,Petrol,36.7,2.0
 Fabia,2018,9353,Manual,4653,Petrol,64.2,1.0
 Fabia,2016,7552,Manual,21159,Petrol,60.1,1.2
 Kamiq,2020,24904,Semi-Auto,2777,Petrol,44.1,1.5
 Karoq,2020,25750,Automatic,2777,Petrol,40.9,1.5
 Fabia,2020,17415,Manual,2777,Petrol,49.6,1.0
 Fabia,2020,14257,Manual,2777,Petrol,51.4,1.0
 Fabia,2017,7997,Manual,25121,Petrol,64.2,1.0
 Superb,2018,19275,Manual,4067,Diesel,64.2,2.0
 Yeti,2016,11995,Semi-Auto,24800,Petrol,51.4,1.2
 Citigo,2019,8495,Manual,2500,Petrol,67.3,1.0
 Octavia,2019,21995,Automatic,5900,Diesel,67.3,2.0
 Citigo,2017,6995,Manual,12300,Petrol,64.2,1.0
 Fabia,2015,6399,Manual,50000,Petrol,60.1,1.2
 Yeti Outdoor,2016,11998,Semi-Auto,37047,Petrol,51.4,1.2
 Fabia,2017,11998,Semi-Auto,17837,Petrol,60.1,1.2
 Karoq,2018,20795,Manual,9295,Petrol,51.4,1.5
 Karoq,2019,18531,Manual,14,Petrol,43.5,1.0
 Kodiaq,2020,29400,Automatic,5777,Diesel,39.8,2.0
 Superb,2017,18798,Semi-Auto,2692,Petrol,43.5,2.0
 Octavia,2014,7698,Manual,57502,Diesel,74.3,1.6
 Yeti Outdoor,2017,12495,Manual,19181,Diesel,62.8,2.0
 Octavia,2019,17995,Manual,1324,Petrol,50.4,1.5
 Citigo,2016,6495,Manual,26000,Petrol,62.8,1.0
 Yeti Outdoor,2016,13495,Semi-Auto,8622,Petrol,51.4,1.2
 Yeti Outdoor,2017,13995,Manual,16247,Diesel,62.8,2.0
 Yeti Outdoor,2016,12495,Semi-Auto,16412,Petrol,51.4,1.2
 Fabia,2016,9795,Manual,18131,Petrol,60.1,1.2
 Fabia,2018,8795,Manual,24385,Petrol,64.2,1.0
 Octavia,2017,11495,Manual,21700,Diesel,67.3,1.6
 Yeti,2016,10155,Manual,27192,Petrol,51.4,1.2
 Fabia,2018,8998,Manual,11238,Petrol,64.2,1.0
 Yeti Outdoor,2017,10498,Manual,28396,Petrol,51.4,1.2
 Fabia,2019,10438,Manual,13881,Petrol,61.4,1.0
 Fabia,2019,10926,Manual,8465,Petrol,61.4,1.0
 Kodiaq,2019,27994,Automatic,1452,Diesel,42.2,2.0
 Yeti,2017,12296,Semi-Auto,29603,Petrol,51.4,1.2
 Kamiq,2019,18217,Automatic,2777,Petrol,45.6,1.0
 Superb,2019,17467,Manual,2777,Petrol,40.9,1.5
 Kodiaq,2019,27039,Automatic,5810,Diesel,37.2,2.0
 Superb,2019,23494,Automatic,2777,Petrol,38.2,2.0
 Fabia,2016,10298,Semi-Auto,14561,Petrol,60.1,1.2
 Superb,2017,16995,Semi-Auto,25064,Petrol,43.5,2.0
 Fabia,2019,12695,Semi-Auto,12015,Petrol,60.1,1.0
 Octavia,2019,13995,Manual,12850,Petrol,55.4,1.5
 Octavia,2019,13795,Manual,14615,Petrol,55.4,1.5
 Octavia,2019,12495,Manual,14387,Petrol,60.1,1.0
 Octavia,2017,11995,Manual,31083,Diesel,67.3,1.6
 Kodiaq,2019,23995,Manual,1205,Petrol,34.5,1.5
 Fabia,2019,9900,Manual,10178,Petrol,57.7,1.0
 Octavia,2019,14900,Semi-Auto,6867,Petrol,55.4,1.5
 Kamiq,2019,18790,Manual,3055,Petrol,47.1,1.0
 Fabia,2019,10398,Manual,12187,Petrol,61.4,1.0
 Fabia,2017,8298,Manual,46334,Diesel,78.5,1.4
 Octavia,2017,12498,Semi-Auto,15751,Petrol,57.7,1.4
 Citigo,2016,7190,Manual,12516,Petrol,68.9,1.0
 Superb,2016,12491,Manual,60405,Diesel,67.3,2.0
 Yeti Outdoor,2016,11995,Manual,30076,Diesel,62.8,2.0
 Octavia,2015,9495,Manual,58543,Diesel,70.6,2.0
 Fabia,2019,8809,Manual,9096,Petrol,57.7,1.0
 Citigo,2018,6000,Manual,22397,Petrol,64.2,1.0
 Kodiaq,2019,29000,Automatic,6176,Petrol,31.7,2.0
 Octavia,2016,10950,Manual,23750,Diesel,72.4,1.6
 Fabia,2018,9495,Manual,10000,Petrol,64.2,1.0
 Octavia,2018,13695,Semi-Auto,8352,Petrol,57.7,1.5
 Fabia,2019,11495,Manual,17349,Petrol,52.3,1.0
 Octavia,2019,15750,Manual,3593,Diesel,55.4,2.0
 Fabia,2019,12537,Semi-Auto,12837,Petrol,60.1,1.0
 Octavia,2017,12230,Semi-Auto,12534,Diesel,64.2,2.0
 Fabia,2017,8730,Manual,17724,Petrol,64.2,1.0
 Superb,2017,19361,Semi-Auto,16726,Diesel,61.4,2.0
 Fabia,2017,7800,Manual,32874,Petrol,60.1,1.2
 Citigo,2017,5830,Manual,27252,Petrol,64.2,1.0
 Kodiaq,2019,29500,Automatic,4821,Diesel,44.8,2.0
 Scala,2019,17489,Semi-Auto,4569,Petrol,45.6,1.5
 Superb,2017,17750,Manual,27997,Diesel,67.3,2.0
 Rapid,2016,8650,Manual,10714,Petrol,57.7,1.2
 Yeti Outdoor,2017,14200,Manual,18856,Petrol,51.4,1.2
 Fabia,2017,8350,Manual,34503,Petrol,60.1,1.2
 Octavia,2019,15795,Manual,600,Petrol,51.4,1.5
 Fabia,2020,13795,Manual,1000,Petrol,51.4,1.0
 Kodiaq,2017,21795,Automatic,10800,Petrol,44.8,1.4
 Kodiaq,2019,26995,Automatic,6800,Diesel,39.8,2.0
 Kodiaq,2020,33495,Automatic,960,Diesel,39.2,2.0
 Octavia,2017,11995,Semi-Auto,22000,Petrol,57.7,1.4
 Kodiaq,2017,19495,Manual,32000,Diesel,51.4,2.0
 Citigo,2017,6137,Manual,27496,Petrol,64.2,1.0
 Yeti Outdoor,2017,10595,Semi-Auto,61130,Petrol,51.4,1.2
 Yeti Outdoor,2017,12499,Manual,6127,Diesel,62.8,2.0
 Octavia,2017,12600,Manual,20185,Petrol,54.3,1.5
 Yeti Outdoor,2016,13000,Manual,29103,Diesel,55.4,2.0
 Fabia,2017,10000,Manual,11855,Petrol,64.2,1.0
 Fabia,2018,8962,Manual,16194,Petrol,64.2,1.0
 Rapid,2017,9185,Manual,33599,Diesel,74.3,1.6
 Rapid,2017,9424,Manual,24451,Diesel,74.3,1.6
 Rapid,2017,9998,Manual,5476,Petrol,57.7,1.2
 Fabia,2019,9965,Manual,14055,Petrol,57.7,1.0
 Fabia,2019,9851,Manual,5065,Petrol,57.7,1.0
 Scala,2019,18263,Manual,1713,Diesel,57.7,1.6
 Yeti Outdoor,2017,13400,Semi-Auto,22434,Petrol,51.4,1.2
 Fabia,2017,8750,Manual,9845,Petrol,64.2,1.0
 Octavia,2017,16500,Manual,26637,Petrol,43.5,2.0
 Fabia,2016,7999,Manual,44148,Petrol,60.1,1.2
 Karoq,2018,19989,Automatic,20275,Petrol,50.4,1.5
 Fabia,2017,11750,Semi-Auto,7730,Petrol,61.4,1.0
 Fabia,2019,9130,Manual,9480,Petrol,57.7,1.0
 Octavia,2019,23500,Automatic,8912,Petrol,38.2,2.0
 Scala,2019,16000,Automatic,2356,Petrol,45.6,1.5
 Fabia,2019,13119,Manual,3000,Petrol,61.4,1.0
 Superb,2019,25000,Automatic,6884,Petrol,30.1,2.0
 Kodiaq,2019,27991,Automatic,1538,Petrol,36.7,1.5
 Citigo,2017,6200,Manual,29910,Petrol,64.2,1.0
 Octavia,2018,10995,Manual,10000,Petrol,57.7,1.5
 Citigo,2017,7750,Manual,10765,Petrol,68.9,1.0
 Citigo,2017,6799,Manual,10702,Petrol,64.2,1.0
 Fabia,2016,7999,Manual,20845,Petrol,58.8,1.0
 Fabia,2019,9499,Manual,7123,Petrol,57.7,1.0
 Kodiaq,2019,28711,Semi-Auto,5019,Petrol,32.1,1.5
 Kodiaq,2019,27287,Semi-Auto,5327,Petrol,32.5,1.5
 Octavia,2016,10450,Manual,48130,Diesel,70.6,2.0
 Octavia,2017,10900,Manual,35373,Diesel,72.4,1.6
 Kodiaq,2018,19300,Manual,23252,Diesel,52.3,2.0
 Kodiaq,2017,23000,Automatic,26275,Diesel,56.5,2.0
 Fabia,2019,9129,Manual,7884,Petrol,57.7,1.0
 Fabia,2019,8869,Manual,8930,Petrol,57.7,1.0
 Rapid,2018,10800,Manual,9786,Petrol,61.4,1.0
 Karoq,2018,17641,Manual,7399,Petrol,40.4,1.0
 Fabia,2017,10471,Manual,26635,Petrol,64.2,1.0
 Fabia,2019,9920,Manual,1927,Petrol,57.7,1.0
 Fabia,2019,10741,Manual,12500,Petrol,61.4,1.0
 Fabia,2019,12649,Manual,4563,Petrol,61.4,1.0
 Karoq,2019,19999,Automatic,3797,Diesel,62.8,1.6
 Fabia,2017,7299,Manual,39203,Petrol,58.8,1.0
 Fabia,2018,9899,Manual,13621,Petrol,64.2,1.0
 Octavia,2016,12999,Manual,38883,Diesel,64.2,2.0
 Fabia,2017,8999,Manual,11300,Petrol,64.2,1.0
 Citigo,2015,4699,Manual,34517,Petrol,62.8,1.0
 Fabia,2017,8799,Manual,10850,Petrol,64.2,1.0
 Superb,2017,18988,Semi-Auto,19256,Petrol,43.5,2.0
 Octavia,2016,13300,Semi-Auto,51691,Diesel,60.1,2.0
 Karoq,2018,17999,Manual,6748,Petrol,52.3,1.5
 Superb,2017,16991,Semi-Auto,22054,Diesel,60.1,2.0
 Octavia,2018,15700,Automatic,26512,Petrol,56.5,1.5
 Kodiaq,2019,27480,Semi-Auto,1202,Petrol,34.0,1.5
 Kodiaq,2017,25000,Automatic,12502,Petrol,39.8,1.4
 Kamiq,2019,20999,Semi-Auto,3597,Petrol,44.1,1.5
 Superb,2018,21500,Semi-Auto,6521,Petrol,43.5,2.0
 Kamiq,2020,20999,Semi-Auto,1000,Diesel,52.3,1.6
 Yeti Outdoor,2017,11499,Manual,33953,Petrol,51.4,1.2
 Superb,2020,26999,Semi-Auto,2000,Diesel,44.1,2.0
 Fabia,2017,10856,Semi-Auto,11765,Petrol,61.4,1.0
 Octavia,2016,16290,Semi-Auto,17702,Diesel,56.5,2.0
 Citigo,2017,5988,Manual,24617,Petrol,64.2,1.0
 Rapid,2018,9422,Manual,21500,Petrol,61.4,1.0
 Scala,2019,14988,Manual,3497,Petrol,49.6,1.0
 Fabia,2019,14499,Manual,5000,Petrol,60.1,1.0
 Kodiaq,2018,25499,Automatic,17517,Petrol,39.8,1.4
 Fabia,2018,11995,Semi-Auto,15321,Petrol,61.4,1.0
 Karoq,2018,17495,Manual,23946,Diesel,62.8,1.6
 Fabia,2016,7995,Manual,32456,Petrol,60.1,1.2
 Fabia,2017,8995,Manual,18890,Petrol,60.1,1.2
 Octavia,2018,12698,Manual,15421,Diesel,68.9,1.6
 Citigo,2016,7002,Manual,7515,Petrol,62.8,1.0
 Fabia,2019,9895,Manual,3477,Petrol,57.7,1.0
 Fabia,2019,11499,Manual,1000,Petrol,51.4,1.0
